,,Model,Family,Line,Platform,"Product ID Tray","Product ID Boxed","Product ID MPK","Launch Date","# of CPU Cores","# of Threads","Graphics Core Count","Base Clock","Max. Boost Clock ¹ ²","All Core Boost Speed","Total L1 Cache","Total L2 Cache","Total L3 Cache","Unlocked for Overclocking","Processor Technology for CPU Cores","CPU Socket","Socket Count","PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP","AMD Configurable TDP (cTDP)","Max. Operating Temperature (Tjmax)","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Per Socket Mem BW","Graphics Frequency","GPU Base","Graphics Model","Supported Technologies","Workload Affinity"
,on,"AMD Ryzen™ 9 3950X","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors","Boxed Processor",100-000000051,100-100000051WOF,,,16,32,,3.5GHz,"Up to 4.7GHz",,1024KB,8MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Cooler Not Included, Liquid Cooling Recommended",,105W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 5 5600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000296,,,1/12/2021,6,12,7,3.3GHz,"Up to 4.2GHz",,,3MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1800 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 5 5600HS","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000296,,,1/12/2021,6,12,7,3.0GHz,"Up to 4.2GHz",,,3MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35W,,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1800 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 7 5800U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000285,,,1/12/2021,8,16,8,1.9GHz,"Up to 4.4GHz",,,4MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"2000 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 9 3900X","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors","Boxed Processor",100-000000023,100-100000023BOX,100-100000023MPK,7/7/2019,12,24,,3.8GHz,"Up to 4.6GHz",,768KB,6MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16","Wraith Prism with RGB LED","Wraith PRISM",105W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 7 5700U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000371,,,1/12/2021,8,16,8,1.8GHz,"Up to 4.3GHz",,,4MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1900 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 9 3900 Processor (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 9 Desktop Processors",Desktop,,,,9/24/2019,12,24,,3.1GHz,"Up to 4.3GHz",,768KB,6MB,64MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16",N/A,N/A,65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 5 5600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000287,,,1/12/2021,6,12,7,2.3GHz,"Up to 4.2GHz",,,3MB,16MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1800 MHz",,"AMD Radeon™ Graphics","AMD ""Zen 3"" Core Architecture",
,on,"AMD Ryzen™ 3 5425U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000586,,,,4,8,6,2.7GHz,"Up to 4.1GHz",,256KB,2MB,8MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 5500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000375,,,1/12/2021,6,12,7,2.1GHz,"Up to 4.0GHz",,,3MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1800 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 3800X","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",100-000000025,100-100000025BOX,100-100000025MPK,7/7/2019,8,16,,3.9GHz,"Up to 4.5GHz",,512KB,4MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16","Wraith Prism with RGB LED","Wraith PRISM",105W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 3 5400U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000288,,,1/12/2021,4,8,6,2.6GHz,"Up to 4.0GHz",,,2MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 3 5300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000376,,,1/12/2021,4,8,6,2.6GHz,"Up to 3.8GHz",,,2MB,4MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1500 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 3700X","AMD Ryzen™ Processors","AMD Ryzen™ 7 Desktop Processors","Boxed Processor",100-000000071,100-100000071BOX,100-100000071MPK,7/7/2019,8,16,,3.6GHz,"Up to 4.4GHz",,512KB,4MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16","Wraith Prism with RGB LED","Wraith PRISM",65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 7 5700G","AMD Ryzen™ Processors","AMD Ryzen™ 7 5000 G-Series Desktop Processors with Radeon™ Graphics","Boxed Processor",100-000000263,100-100000263BOX,100-100000263MPK,4/13/2021,8,16,8,3.8GHz,"Up to 4.6GHz",,,4MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0","Wraith Stealth",,65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2000 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 7 5700GE","AMD Ryzen™ Processors","AMD Ryzen™ 7 5000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000260,,100-100000260MPK,4/13/2021,8,16,8,3.2GHz,"Up to 4.6GHz",,,4MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0","Wraith Stealth",,35W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2000 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 5 5600G","AMD Ryzen™ Processors","AMD Ryzen™ 5 5000 G-Series Desktop Processors with Radeon™ Graphics","Boxed Processor",100-000000252,100-100000252BOX,100-100000252MPK,4/13/2021,6,12,7,3.9GHz,"Up to 4.4GHz",,,3MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0","Wraith Stealth",,65W,45-65W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 5 3600X","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors","Boxed Processor",100-000000022,100-100000022BOX,100-100000022MPK,7/7/2019,6,12,,3.8GHz,"Up to 4.4GHz",,384KB,3MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16","Wraith Spire","Wraith Spire",95W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 5 5600GE","AMD Ryzen™ Processors","AMD Ryzen™ 5 5000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000261,,100-100000261MPK,4/13/2021,6,12,7,3.4GHz,"Up to 4.4GHz",,,3MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0","Wraith Stealth",,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 5 3600","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors","Boxed Processor",100-000000031,100-100000031BOX,100-100000031MPK,7/7/2019,6,12,,3.6GHz,"Up to 4.2GHz",,384KB,3MB,32MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16","Wraith Stealth","Wraith Stealth",65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 3 5300G (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 3 5000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,"100-000000253 (OEM Only)",,,4/13/2021,4,8,6,4.0GHz,"Up to 4.2GHz",,,2MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,45-65W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 3 5300GE (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 3 5000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,"100-000000262 (OEM Only)",,,4/13/2021,4,8,6,3.6GHz,"Up to 4.2GHz",,,2MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 3 3300X","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors","Boxed Processor",100-000000159,100-100000159BOX,100-100000159MPK,05/2020,4,8,,3.8GHz,"Up to 4.3GHz",,256KB,2MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 4.0","Wraith Stealth",,65W,,,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 7 4700G (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000146,,,7/21/2020,8,16,8,3.6GHz,"Up to 4.4GHz",,512KB,4MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,45-65W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2100 MHz",,"Radeon™ Graphics",,
,on,"AMD Ryzen™ 3 3100","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors","Boxed Processor",100-000000284,100-100000284BOX,100-100000284MPK,05/2020,4,8,,3.6GHz,"Up to 3.9GHz",,256KB,2MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0","Wraith Stealth",,65W,,,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,,,,,"Discrete Graphics Card Required","AMD ""Zen"" Core Architecture, AMD Ryzen™ Master Utility, AMD Ryzen™ VR-Ready Premium",
,on,"AMD Ryzen™ 5 4600G (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000147,,,7/21/2020,6,12,7,3.7GHz,"Up to 4.2GHz",,384KB,3MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,45-65W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 3 4300G (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000144,,,7/21/2020,4,8,6,3.8GHz,"Up to 4.0GHz",,256KB,2MB,4MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,65W,45-65W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 5 3500 Processor (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors",Desktop,100-000000050,,,,6,6,,3.6GHz,"Up to 4.1GHz",,384KB,3MB,16MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe 4.0 x16",,,65W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,,,"Discrete Graphics Card Required",,
,on,"AMD Ryzen™ 7 4700GE (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 7 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000149,,,7/21/2020,8,16,8,3.1GHz,"Up to 4.3GHz",,512KB,4MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"2000 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 5 4600GE (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 5 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000150,,,7/21/2020,6,12,7,3.3GHz,"Up to 4.2GHz",,384KB,3MB,8MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1900 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 3 4300GE (OEM Only)","AMD Ryzen™ Processors","AMD Ryzen™ 3 4000 G-Series Desktop Processors with Radeon™ Graphics",Desktop,100-000000151,,,7/21/2020,4,8,6,3.5GHz,"Up to 4.0GHz",,256KB,2MB,4MB,Yes,"TSMC 7nm FinFET",AM4,,"PCIe® 3.0",,,35W,,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 3200MHz",DDR4,2,,"1700 MHz",,"Radeon™  Graphics",,
,on,"AMD Ryzen™ 9 4900H","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,,,,3/16/20,8,16,8,3.3GHz,"Up to 4.4GHz",,,4MB,8MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35-54W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1750 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 9 4900HS","AMD Ryzen™ Processors","AMD Ryzen™ 9 Mobile Processors with Radeon™ Graphics",Laptop,,,,,8,16,8,3.0GHz,"Up to 4.3GHz",,,4MB,8MB,No,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,35W,,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1750 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 4800HS","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,,,,,8,16,7,2.9GHz,"Up to 4.2GHz",,,4MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 4800H","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000098,,,1/6/2020,8,16,7,2.9GHz,"Up to 4.2GHz",,,4MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 4600H","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000100,,,1/6/2020,6,12,6,3.0GHz,"Up to 4.0GHz",,,3MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,45W,35-54W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1500 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 4800U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000082,,,1/6/2020,8,16,8,1.8GHz,"Up to 4.2GHz",,,4MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1750 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 7 4700U","AMD Ryzen™ Processors","AMD Ryzen™ 7 Mobile Processors with Radeon™ Graphics",Laptop,100-000000083,,,1/6/2020,8,8,7,2.0GHz,"Up to 4.1GHz",,,4MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1600 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 4600U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000105,,,1/6/2020,6,12,6,2.1GHz,"Up to 4.0GHz",,,3MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1500 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 4500U","AMD Ryzen™ Processors","AMD Ryzen™ 5 Mobile Processors with Radeon™ Graphics",Laptop,100-000000084,,,1/6/2020,6,6,6,2.3GHz,"Up to 4.0GHz",,,3MB,8MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1500 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 3 4300U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,100-000000085,,,1/6/2020,4,4,5,2.7GHz,"Up to 3.7GHz",,,2MB,4MB,,"TSMC 7nm FinFET",FP6,,"PCIe® 3.0",,,15W,10-25W,105°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",,,"1400 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 3 3250U","AMD Ryzen™ Processors","AMD Ryzen™ 3 Mobile Processors with Radeon™ Graphics",Laptop,YM3250C4T2OFG,,,1/6/2020,2,4,3,2.6GHz,"Up to 3.5GHz",,192KB,1MB,4MB,,14nm,FP5,,"PCIe® 3.0",,,15W,12-25W,95°C,"Windows 11 - 64-Bit Edition, Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.","Up to 2400MHz",DDR4,2,,"1200 MHz",,"AMD Radeon™ Graphics",,
,on,"AMD Ryzen™ 5 3400G with Radeon™ RX Vega 11 Graphics","AMD Ryzen™ Processors","AMD Ryzen™ 5 Desktop Processors with Radeon™ Vega Graphics","Boxed Processor",YD3400C5M4MFH,YD3400C5FHBOX,YD3400C5FHMPK,,4,8,11,3.7GHz,"Up to 4.2GHz",,384KB,2MB,4MB,Yes,"12nm FinFET",AM4,,"PCIe® 3.0","AMD Wraith Spire","AMD Wraith Spire",65W,45-65W,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",,DDR4,2,,"1400 MHz",,"Radeon™ RX Vega 11 Graphics",,
